repo_full_name,owner,html_url,description,topics,category,tags,summary,starred_at,analyzed_at
Zainking/LearningPixi,Zainking,https://github.com/Zainking/LearningPixi,⚡️Pixi教程中文版,chinese;chinese-simplified;chinese-translation;getting-started;pixi;pixi-js;toturial,教育,Pixi;中文教程;入门;前端;JavaScript;图形渲染,Zainking/LearningPixi 是一个提供 Pixi.js 图形渲染库的中文入门教程，旨在帮助中文用户快速掌握 Pixi.js 的基础知识。,2021-06-09T11:33:59Z,2025-10-11T15:04:59.446317+00:00
nuxt/todomvc,nuxt,https://github.com/nuxt/todomvc,Nuxt.js TodoMVC Example,nuxt;todomvc;universal;vue;web-app,前端框架与库,Nuxt.js;TodoMVC;Vue.js;通用渲染;Web应用,该仓库是使用Nuxt.js实现的TodoMVC示例，展示了Nuxt.js在构建通用Vue.js Web应用方面的应用。,2021-06-09T11:42:38Z,2025-10-11T15:04:59.446317+00:00
benyasin/vue3-demo,benyasin,https://github.com/benyasin/vue3-demo,💡 vue3新特性示例: 响应式API、组合式API、TodoMVC,composition-api;demo;proxy;reactive;todomvc;typescript;vite;vue-router4;vue3;vue3-demo;vue3-typescript;vuex4,前端框架,Vue3;响应式API;组合式API;TodoMVC;TypeScript;Vite,该仓库展示了Vue3的新特性，包括响应式API、组合式API等，并通过TodoMVC示例进行演示，使用TypeScript和Vite构建。,2021-06-09T11:42:41Z,2025-10-11T15:04:59.446317+00:00
artberri/todomvp,artberri,https://github.com/artberri/todomvp,"Frameworkless MVP implementation of the TodoMVC app using Typescript with views implemented in Vue, React and Angular",angular;mvp;todomvc;typescript;vue,前端框架,MVP;TodoMVC;TypeScript;Vue;React;Angular,一个无框架的MVP模式实现，使用TypeScript编写，并在Vue、React和Angular中实现视图的TodoMVC应用。,2021-06-09T11:42:43Z,2025-10-11T15:04:59.446317+00:00
mdn/todo-vue,mdn,https://github.com/mdn/todo-vue,Sample todo app built with the Vue framework,mdn;todo;vue;vuejs,前端开发,Vue;待办事项;示例应用;前端框架;教程,使用Vue框架构建的待办事项示例应用程序，适合作为Vue入门学习和实践的项目。,2021-06-09T11:42:45Z,2025-10-11T15:04:59.446317+00:00
tastejs/todomvc,tastejs,https://github.com/tastejs/todomvc,"Helping you select a JavaScript framework - Todo apps for React.js, Angular, Vue and many more",,前端框架比较,JavaScript;React.js;Angular;Vue;Todo应用;框架选择,tastejs/todomvc 是一个用于比较不同JavaScript框架的项目，提供了React.js、Angular、Vue等框架实现的Todo应用示例，帮助开发者选择合适的框架。,2021-06-09T11:42:47Z,2025-10-11T15:04:59.446317+00:00
NervJS/nerv-redux-todomvc,NervJS,https://github.com/NervJS/nerv-redux-todomvc,TodoMVC example using Nerv and Redux,,前端框架与库,Nerv;Redux;TodoMVC;示例项目,该仓库提供了一个使用Nerv和Redux实现的TodoMVC示例，旨在展示前端应用的状态管理及构建方式。,2021-06-09T11:42:49Z,2025-10-11T15:04:59.446317+00:00
CharlieLau/todolist-vue3,CharlieLau,https://github.com/CharlieLau/todolist-vue3,设计,todomvc;vue3-demo,前端开发,Vue3;TodoMVC;示例项目;设计,基于Vue3的TodoList应用，遵循TodoMVC模式，展示现代前端设计实践。,2021-06-09T11:42:52Z,2025-10-11T15:04:59.446317+00:00
docker/awesome-compose,docker,https://github.com/docker/awesome-compose,Awesome Docker Compose samples,awesome;awesome-list;docker-compose,开发工具,Docker;Docker Compose;示例;模板;配置,docker/awesome-compose 是一个包含各种 Docker Compose 示例的精选列表，旨在帮助开发者快速搭建和配置基于 Docker 的应用环境。,2021-06-09T11:43:11Z,2025-10-11T15:04:59.446317+00:00
docker/getting-started,docker,https://github.com/docker/getting-started,Getting started with Docker,,教育,Docker;入门;教程;容器化,Docker入门教程，帮助初学者快速掌握Docker基础知识和使用方法，开启容器化技术之旅。,2021-06-09T11:43:13Z,2025-10-11T15:04:59.446317+00:00
